267,Kincorth,119,12.5,4091
268,Newtonhill,119,0,4851
269,Park,119,0,0
270,Redmoss,119,40,5018
271,Gledfield,120,2.5,704
272,Shin,120,0,223
273,139002,121,0,0
274,Hatton,122,5,2150
275,Maud,122,8,1695
276,Mintlaw,122,15,2786
277,New Pitsligo,122,2.5,952
278,Strichen,122,0,1646
279,Aboyne,123,15,3092
280,Ballater,123,15,2400
281,Mossat,123,2.5,1296
282,Strathdon,123,2.5,429
283,Whitehouse,123,0,0
284,Barcaldine,124,5,1080
285,Bonawe,124,0.5,1
286,Connel,124,8,701
287,Dalmally,124,0.75,81
288,Dervaig (incl Tiree),124,0,952
289,Eredine,124,0.2,43
290,Kenmore,124,1.5,110
291,Kerrera,124,0,0
292,Kilchrenan,124,1,287
293,Kilmelford,124,0,0
294,Kilninver,124,2.5,719
295,Kinloch,124,2.5,637
296,Lochdonhead,124,1,277
297,Oban,124,24,5850
298,"Salen, Acharacle",124,0,829
299,Scammadale,124,0,0
300,Taynuilt,124,0,780
301,Tiroran Bridge,124,0,22
302,Burgar Hill,125,0,0
303,Eday,125,1,122
304,Flotta,125,8,79
305,Forss,125,2.5,420
306,Halkirk,125,2.5,1105
307,Hastigrow,125,5,1794
308,Kirkwall,125,24,6231
309,Lyness,125,1,285
310,Mount Pleasant,125,0,0
311,North Hoy,125,0.15,39
312,Ormlie,125,7.5,4019
313,Rousay,125,2.5,215
314,Sanday,125,1,426
315,Shapinsay,125,1,204
316,St Mary's,125,0,0
317,Stromness,125,8,2721
318,Stronsay,125,1,217
319,Westray,125,0,0
320,Aberfeldy,126,8,1799
321,Bonskeid,126,5,1029
322,Calvine,126,2.5,300
323,Fincastle,126,0.1,26
324,Kinloch Rannoch,126,0,241
325,Pitlochry,126,5,2032
326,Tummel Bridge,126,0,0
327,Denburn,127,21,5930
328,Greyfriars,127,24,7114
329,Hayton,127,23,5826
330,St Nicholas,127,12.5,4277
331,Queens Lane North,128,12.5,7468
332,Springhill,128,21,8776
333,Woodhill,128,0,0
