104,90,57.454,-4.2466,27585,7515,8180,4828,6973,29304,665,19057,5711,936,219,161
105,90,57.54,-2.9384,18582,8013,5831,3031,1662,24345,356,10862,2125,3810,534,162
106,45,56.477,-4.3296,1214,620,363,127,101,1703,46,108,427,418,84,32
107,120,57.22,-2.3808,26682,14226,7061,2395,2910,43037,415,16180,3170,5434,364,287
108,90,58.03,-4.4132,649,394,211,26,14,847,34,21,119,293,96,8
109,90,56.654,-2.8654,13796,5096,3323,2448,2919,17467,259,8607,2384,1728,242,155
110,60,56.481,-3.0175,11502,1333,2987,1373,5796,0,515,8000,2644,19,4,26
111,90,57.664,-2.4985,10273,4367,3214,1527,1146,13252,179,5850,1677,1915,282,84
112,60,56.475,-2.9246,11502,1333,2987,1373,5796,0,515,8000,2644,19,4,26
113,60,58.445,-3.4253,6059,2524,1667,1170,671,6943,180,1749,1104,1741,806,199
114,60,57.576,-3.8469,11996,5030,3400,1932,1601,14514,250,7887,1716,1418,225,89
115,90,57.174,-2.1381,34225,5068,9146,5644,14225,36895,824,28036,4203,314,51,141
116,45,57.509,-1.8057,8900,1902,2889,1639,2465,9663,150,7473,663,318,37,30
117,30,56.028,-5.3567,3446,1282,1025,698,418,4299,140,132,1417,947,504,75
118,30,57.07,-5.1077,98,74,21,1,1,154,6,2,20,51,4,0
119,60,57.108,-2.0916,18515,3113,4370,2852,8087,20111,502,14424,2473,553,46,126
120,90,57.944,-4.4131,1386,853,408,79,29,2004,66,52,379,592,135,21
121,50,56.245,-4.7307,294,112,78,62,39,413,16,43,91,78,40,16
122,90,57.586,-2.0699,8041,4462,2422,773,360,12791,225,2619,1544,2956,286,115
123,30,57.152,-2.7872,6372,4176,1471,329,385,10356,218,393,1496,3440,329,140
124,90,56.43,-5.2141,8250,3353,1804,750,2284,9954,516,1129,3730,1605,677,171
125,60,58.574,-3.5117,10885,5418,3299,1390,736,14280,465,2350,2860,3567,880,208
126,21,56.704,-4.0204,3998,1867,1063,396,663,5226,121,1584,1075,809,134,70
127,60,57.154,-2.0972,11892,600,1900,1910,7459,10006,360,9377,1784,27,7,59
128,90,57.154,-2.1463,35676,1800,5700,5730,22378,30018,1080,28130,5352,82,22,176
